what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1434902343078
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1434902343078
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1434902343078
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1434902343078
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1434902343078
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1434902343078
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1434902343078
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1434902343078
started,bundle,edu.umd.cs.findbugs.plugin.eclipse,2.0.2.20121210,"edu.umd.cs.findbugs.plugin.eclipse",1434902343078
started,bundle,it.unibz.instasearch,1.5.1,"it.unibz.instasearch",1434902343078
started,bundle,org.eclipse.dltk.core,3.0.1.v20110823,"org.eclipse.dltk.core",1434902343078
started,bundle,org.eclipse.dltk.launching,3.0.0.v20110423,"org.eclipse.dltk.launching",1434902343078
started,bundle,org.eclipse.dltk.ui,3.0.1.v20110823,"org.eclipse.dltk.ui",1434902343093
started,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201211091924,"org.eclipse.cdt.codan.checkers",1434902343093
started,bundle,org.eclipse.cdt.codan.core,2.0.0.201211091924,"org.eclipse.cdt.codan.core",1434902343093
started,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201211091924,"org.eclipse.cdt.codan.core.cxx",1434902343093
started,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201211091924,"org.eclipse.cdt.codan.ui.cxx",1434902343093
started,bundle,org.eclipse.cdt.core,5.3.2.201211091924,"org.eclipse.cdt.core",1434902343093
started,bundle,org.eclipse.cdt.dsf,2.2.0.201211091924,"org.eclipse.cdt.dsf",1434902343093
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201211091924,"org.eclipse.cdt.dsf.gdb",1434902343093
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201211091924,"org.eclipse.cdt.dsf.gdb.ui",1434902343093
started,bundle,org.eclipse.cdt.make.core,7.1.2.201211091924,"org.eclipse.cdt.make.core",1434902343093
started,bundle,org.eclipse.cdt.make.ui,7.1.2.201211091924,"org.eclipse.cdt.make.ui",1434902343093
started,bundle,org.eclipse.cdt.managedbuilder.core,8.0.2.201211091924,"org.eclipse.cdt.managedbuilder.core",1434902343093
started,bundle,org.eclipse.cdt.ui,5.3.2.201211091924,"org.eclipse.cdt.ui",1434902343093
started,bundle,com.android.ide.eclipse.adt,23.0.6.1720515,"com.android.ide.eclipse.adt",1434902343093
started,bundle,com.android.ide.eclipse.base,23.0.6.1720515,"com.android.ide.eclipse.base",1434902343093
os,sysinfo,,,"win32",1434902343093
arch,sysinfo,,,"x86",1434902343093
ws,sysinfo,,,"win32",1434902343093
locale,sysinfo,,,"en_US",1434902343093
processors,sysinfo,,,"4",1434902343093
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1434902343093
java.runtime.version,sysinfo,,,"1.8.0_45-b15",1434902343093
java.specification.name,sysinfo,,,"Java Platform API Specification",1434902343093
java.specification.vendor,sysinfo,,,"Oracle Corporation",1434902343093
java.specification.version,sysinfo,,,"1.8",1434902343093
java.vendor,sysinfo,,,"Oracle Corporation",1434902343093
java.version,sysinfo,,,"1.8.0_45",1434902343093
java.vm.info,sysinfo,,,"mixed mode",1434902343093
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1434902343093
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1434902343093
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1434902343093
java.vm.specification.version,sysinfo,,,"1.8",1434902343093
java.vm.vendor,sysinfo,,,"Oracle Corporation",1434902343093
java.vm.version,sysinfo,,,"25.45-b02",1434902343093
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1434902343561
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1434902346494
closed,view,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.internal.introview",1434902346510
