what,kind,bundleId,bundleVersion,description,time
error,log,,,"Could not retrieve declared methods",1434978105932
error,log,,,"Could not retrieve declared methods",1434978105939
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434978107673
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434978107819
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434978114409
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434978117693
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1434978121356
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1434978121525
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1434978121684
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1434978121844
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1434978122024
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1434978122172
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434978125810
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434978127074
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1434978138868
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1434978139037
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1434978139197
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1434978139373
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1434978139541
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1434978139708
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1434978140181
