what,kind,bundleId,bundleVersion,description,time
processors,sysinfo,,,"4",1436039874345
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1436039874345
java.runtime.version,sysinfo,,,"1.8.0_45-b15",1436039874345
java.specification.name,sysinfo,,,"Java Platform API Specification",1436039874345
java.specification.vendor,sysinfo,,,"Oracle Corporation",1436039874345
java.specification.version,sysinfo,,,"1.8",1436039874345
java.vendor,sysinfo,,,"Oracle Corporation",1436039874345
java.version,sysinfo,,,"1.8.0_45",1436039874345
java.vm.info,sysinfo,,,"mixed mode",1436039874345
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1436039874345
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1436039874345
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1436039874345
java.vm.specification.version,sysinfo,,,"1.8",1436039874345
java.vm.vendor,sysinfo,,,"Oracle Corporation",1436039874345
java.vm.version,sysinfo,,,"25.45-b02",1436039874345
started,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201211091924,"org.eclipse.cdt.codan.core.cxx",1436039874392
started,bundle,org.eclipse.cdt.codan.core,2.0.0.201211091924,"org.eclipse.cdt.codan.core",1436039874407
started,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201211091924,"org.eclipse.cdt.codan.checkers",1436039874423
started,bundle,org.eclipse.wst.sse.core,1.1.602.v201112071516,"org.eclipse.wst.sse.core",1436039875843
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.200.v201103170302,"org.eclipse.jst.common.project.facet.core",1436039875999
started,bundle,org.eclipse.jst.ws.jaxrs.core,1.0.301.v201108240656,"org.eclipse.jst.ws.jaxrs.core",1436039875999
started,bundle,org.eclipse.jpt.common.core,1.0.2.v201111103010,"org.eclipse.jpt.common.core",1436039876014
started,bundle,org.eclipse.jpt.jpa.core,3.0.2.v201201243020,"org.eclipse.jpt.jpa.core",1436039876014
started,bundle,org.eclipse.wst.xml.core,1.1.602.v201201091944,"org.eclipse.wst.xml.core",1436039876045
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1436039876139
