what,kind,bundleId,bundleVersion,description,time
started,bundle,com.android.ide.eclipse.adt,23.0.6.1720515,"com.android.ide.eclipse.adt",1434902750248
started,bundle,com.android.ide.eclipse.base,23.0.6.1720515,"com.android.ide.eclipse.base",1434902750248
os,sysinfo,,,"win32",1434902750248
arch,sysinfo,,,"x86",1434902750248
ws,sysinfo,,,"win32",1434902750248
locale,sysinfo,,,"en_US",1434902750248
processors,sysinfo,,,"4",1434902750248
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1434902750248
java.runtime.version,sysinfo,,,"1.8.0_45-b15",1434902750248
java.specification.name,sysinfo,,,"Java Platform API Specification",1434902750248
java.specification.vendor,sysinfo,,,"Oracle Corporation",1434902750248
java.specification.version,sysinfo,,,"1.8",1434902750248
java.vendor,sysinfo,,,"Oracle Corporation",1434902750248
java.version,sysinfo,,,"1.8.0_45",1434902750248
java.vm.info,sysinfo,,,"mixed mode",1434902750248
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1434902750248
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1434902750248
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1434902750248
java.vm.specification.version,sysinfo,,,"1.8",1434902750248
java.vm.vendor,sysinfo,,,"Oracle Corporation",1434902750248
java.vm.version,sysinfo,,,"25.45-b02",1434902750248
started,bundle,org.eclipse.cdt.core,5.3.2.201211091924,"org.eclipse.cdt.core",1434902750310
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1434902750404
started,bundle,org.eclipse.cdt.ui,5.3.2.201211091924,"org.eclipse.cdt.ui",1434902750404
started,bundle,org.eclipse.cdt.make.ui,7.1.2.201211091924,"org.eclipse.cdt.make.ui",1434902750451
started,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201211091924,"org.eclipse.cdt.codan.core.cxx",1434902750466
started,bundle,org.eclipse.cdt.codan.core,2.0.0.201211091924,"org.eclipse.cdt.codan.core",1434902750482
started,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201211091924,"org.eclipse.cdt.codan.checkers",1434902750482
