what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.cdt.make.ui,7.1.2.201211091924,"org.eclipse.cdt.make.ui",1434969640727
started,bundle,org.eclipse.cdt.managedbuilder.core,8.0.2.201211091924,"org.eclipse.cdt.managedbuilder.core",1434969640727
started,bundle,org.eclipse.cdt.ui,5.3.2.201211091924,"org.eclipse.cdt.ui",1434969640729
started,bundle,com.android.ide.eclipse.adt,23.0.6.1720515,"com.android.ide.eclipse.adt",1434969640729
started,bundle,com.android.ide.eclipse.base,23.0.6.1720515,"com.android.ide.eclipse.base",1434969640729
os,sysinfo,,,"win32",1434969640732
arch,sysinfo,,,"x86",1434969640732
ws,sysinfo,,,"win32",1434969640732
locale,sysinfo,,,"en_US",1434969640732
processors,sysinfo,,,"4",1434969640732
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1434969640732
java.runtime.version,sysinfo,,,"1.8.0_45-b15",1434969640732
java.specification.name,sysinfo,,,"Java Platform API Specification",1434969640732
java.specification.vendor,sysinfo,,,"Oracle Corporation",1434969640732
java.specification.version,sysinfo,,,"1.8",1434969640732
java.vendor,sysinfo,,,"Oracle Corporation",1434969640732
java.version,sysinfo,,,"1.8.0_45",1434969640732
java.vm.info,sysinfo,,,"mixed mode",1434969640732
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1434969640732
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1434969640732
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1434969640732
java.vm.specification.version,sysinfo,,,"1.8",1434969640732
java.vm.vendor,sysinfo,,,"Oracle Corporation",1434969640732
java.vm.version,sysinfo,,,"25.45-b02",1434969640732
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1434969641759
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1434969641762
started,bundle,org.eclipse.php.core,3.0.1.v201201110400,"org.eclipse.php.core",1434969642107
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.200.v201103170302,"org.eclipse.jst.common.project.facet.core",1434969642185
started,bundle,org.eclipse.jst.ws.jaxrs.core,1.0.301.v201108240656,"org.eclipse.jst.ws.jaxrs.core",1434969642192
